ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1,0,M,86,A,L,"59 MAIDEN LN, 1",59 Maiden Lane,1,59 Maiden Lane,40.70823,-74.008139,59 Maiden Lane,"59 Maiden Ln, New York, NY 10038",Bing Maps,address
2,1,T,86,A,L,"180 WATER ST, 1",180 Water Street,1,180 Water Street,40.706982,-74.005585,180 Water Street,"180 Water St, New York, NY 10038",Bing Maps,address
3,2,M,86,A,L,"415 E 203RD ST, 2",415 East 203 St,2,415 East 203 St,40.87043,-73.877022,415 East 203 St,"415 E 203rd St, Bronx, NY 10467",Bing Maps,address
4,3,T,86,A,L,"1201 METROPOLITAN AVE, 3",1201 Metropolitan Ave,3,1201 Metropolitan Ave,39.32777,-94.932825,1201 Metropolitan Ave,"1201 Metropolitan Ave, Leavenworth, KS 66048",Bing Maps,address
5,4,T,86,A,L,"1201 METROPOLITAN AVE, 3",1201 Metropolitan Ave,3,1201 Metropolitan Ave,39.32777,-94.932825,1201 Metropolitan Ave,"1201 Metropolitan Ave, Leavenworth, KS 66048",Bing Maps,address
6,5,T,86,A,R,"470 VANDERBILT AVE, 3",470 Vanderbilt Ave,3,470 Vanderbilt Ave,40.683077,-73.967854,470 Vanderbilt Ave,"470 Vanderbilt Ave, Brooklyn, NY 11238",Bing Maps,address
7,6,U,0,A, , ,2389 Route 28A, ,2389 Route 28A,41.947918,-74.201201,2389 Route 28A,"2389 RT-28A, Olivebridge, NY 12461",Bing Maps,address
8,7,U,0,A, , ,2389 Route 28A, ,2389 Route 28A,41.947918,-74.201201,2389 Route 28A,"2389 RT-28A, Olivebridge, NY 12461",Bing Maps,address
9,8,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
10,9,M,86,A,L,"415 E 203RD ST, 2",415 East 203 St,2,415 East 203 St,40.87043,-73.877022,415 East 203 St,"415 E 203rd St, Bronx, NY 10467",Bing Maps,address
11,10,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
12,11,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
13,12,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
14,13,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
15,14,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
16,15,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
17,16,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
18,17,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
19,18,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
20,19,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
21,20,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
22,21,M,86,A,R,"465 COLUMBUS AVE, 1",465 Columbus Ave. Valhalla,1,465 Columbus Ave. Valhalla,41.107204,-73.781418,465 Columbus Ave. Valhalla,"465 Columbus Ave, Valhalla, NY 10595",Bing Maps,address
23,22,M,86,A,R,"465 COLUMBUS AVE, 1",465 Columbus Ave. Valhalla,1,465 Columbus Ave. Valhalla,41.107204,-73.781418,465 Columbus Ave. Valhalla,"465 Columbus Ave, Valhalla, NY 10595",Bing Maps,address
24,23,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
25,24,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
26,25,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
27,26,U,0,A, , ,7870 State Rd 42 Grahamsville, ,7870 State Rd 42 Grahamsville,41.844454,-74.544451,7870 State Rd 42 Grahamsville,"7870 RT-42, Grahamsville, NY 12740",Bing Maps,address
28,27,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
29,28,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
30,29,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
31,30,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
32,31,U,0,A, , ,7870 State Rd 42 Grahamsville, ,7870 State Rd 42 Grahamsville,41.844454,-74.544451,7870 State Rd 42 Grahamsville,"7870 RT-42, Grahamsville, NY 12740",Bing Maps,address
33,32,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
34,33,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
35,34,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
36,35,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
37,36,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
38,37,T,86,A,R,"94 FLATBUSH AVE, 3",94 Flatbush Ave,3,94 Flatbush Ave,40.685626,-73.978666,94 Flatbush Ave,"94 Flatbush Ave, Brooklyn, NY 11217",Bing Maps,address
39,38,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
40,39,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
41,40,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
42,41,T,86,A,L,"42 BROADWAY, 1",42 Broadway,1,42 Broadway,40.705982,-74.012581,42 Broadway,"42 Broadway, New York, NY 10004",Bing Maps,address
43,42,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
44,43,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
45,44,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
46,45,M,86,A,L,"125 WORTH ST, 1",125 Worth Street,1,125 Worth Street,40.715463,-74.002667,125 Worth Street,"125 Worth St, New York, NY 10013",Bing Maps,address
47,46,M,86,A,L,"125 WORTH ST, 1",125 Worth Street,1,125 Worth Street,40.715463,-74.002667,125 Worth Street,"125 Worth St, New York, NY 10013",Bing Maps,address
48,47,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
49,48,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
50,49,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
51,50,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
52,51,T,86,A,R,"470 VANDERBILT AVE, 3",470 Vanderbilt Ave,3,470 Vanderbilt Ave,40.683077,-73.967854,470 Vanderbilt Ave,"470 Vanderbilt Ave, Brooklyn, NY 11238",Bing Maps,address
53,52,T,86,A,L,"180 WATER ST, 1",180 Water Street,1,180 Water Street,40.706982,-74.005585,180 Water Street,"180 Water St, New York, NY 10038",Bing Maps,address
54,53,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
55,54,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
56,55,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
57,56,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
58,57,M,67,A,R,"110 WILLIAM ST, 1",110 William St. N Y,1,110 William St. N Y,40.708767,-74.006729,110 William St. N Y,"110 William St, New York, NY 10038",Bing Maps,address
59,58,T,86,A,R,"1 CENTRE ST, 1",1 Centre St.,1,1 Centre St.,-27.10001,-48.922909,1 Centre St.,"Centro 1, Brazil",Bing Maps,Neighborhood
60,59,T,86,A,R,"1 CENTRE ST, 1",1 Centre St.,1,1 Centre St.,-27.10001,-48.922909,1 Centre St.,"Centro 1, Brazil",Bing Maps,Neighborhood
61,60,M,67,A,R,"110 WILLIAM ST, 1",110 William St. N Y,1,110 William St. N Y,40.708767,-74.006729,110 William St. N Y,"110 William St, New York, NY 10038",Bing Maps,address
62,61,T,86,A,L,"1 BAY ST, 2",1 Bay St.,2,1 Bay St.,37.806573,-122.405999,1 Bay St.,"1 Bay St, San Francisco, CA 94133",Bing Maps,address
63,62,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
64,63,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
65,64,M,86,A,L,"15 METROTECH, 3",15 Metrotech,3,15 Metrotech,40.692796,-73.986176,15 Metrotech,"15 Lawrence St, Brooklyn, NY 11201",Bing Maps,address
66,65,T,86,A,L,"1 BAY ST, 2",1 Bay St.,2,1 Bay St.,37.806573,-122.405999,1 Bay St.,"1 Bay St, San Francisco, CA 94133",Bing Maps,address
67,66,T,75,A,L,"60 21 ASTORIA BLVD, 4",75-20 Astoria Blvd,4,75-20 Astoria Blvd,40.76572,-73.892654,75-20 Astoria Blvd,"75-20 Astoria Blvd, East Elmhurst, NY 11370",Bing Maps,address
68,67,U,0,A, , ,253 Broadway New York Ny, ,253 Broadway New York Ny,40.713383,-74.007454,253 Broadway New York Ny,"253 Broadway, New York, NY 10007",Bing Maps,address
69,68,U,0,A, , ,253 Broadway New York Ny, ,253 Broadway New York Ny,40.713383,-74.007454,253 Broadway New York Ny,"253 Broadway, New York, NY 10007",Bing Maps,address
70,69,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
71,70,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
72,71,M,86,A,L,"15 METROTECH, 3",15 Metrotech,3,15 Metrotech,40.692796,-73.986176,15 Metrotech,"15 Lawrence St, Brooklyn, NY 11201",Bing Maps,address
73,72,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
74,73,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
75,74,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
76,75,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
77,76,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
78,77,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
79,78,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
80,79,T,86,A,L,"421 E 26TH ST, 1",421 East 26th Street NY NY,1,421 East 26th Street NY NY,40.738601,-73.97657,421 East 26th Street NY NY,"421 E 26th St, New York, NY 10010",Bing Maps,address
81,80,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
82,81,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
83,82,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
84,83,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
85,84,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
86,85,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
87,86,T,86,A,L,"421 E 26TH ST, 1",421 East 26th Street NY NY,1,421 East 26th Street NY NY,40.738601,-73.97657,421 East 26th Street NY NY,"421 E 26th St, New York, NY 10010",Bing Maps,address
88,87,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
89,88,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
90,89,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
91,90,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
92,91,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
93,92,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
94,93,T,74,A,L,"3589 JEROME AVE, 2",3701 Jerome Ave,2,3701 Jerome Ave,40.892269,-73.880303,3701 Jerome Ave,"3701 Jerome Ave, Bronx, NY 10467",Bing Maps,address
95,94,T,74,A,L,"3589 JEROME AVE, 2",3701 Jerome Ave,2,3701 Jerome Ave,40.892269,-73.880303,3701 Jerome Ave,"3701 Jerome Ave, Bronx, NY 10467",Bing Maps,address
96,95,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
97,96,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
98,97,M,86,A,L,"15 METROTECH, 3",15 Metrotech,3,15 Metrotech,40.692796,-73.986176,15 Metrotech,"15 Lawrence St, Brooklyn, NY 11201",Bing Maps,address
99,98,M,86,A,L,"15 METROTECH, 3",15 Metrotech,3,15 Metrotech,40.692796,-73.986176,15 Metrotech,"15 Lawrence St, Brooklyn, NY 11201",Bing Maps,address
100,99,M,86,A,L,"125 WORTH ST, 1",125 Worth Street,1,125 Worth Street,40.715463,-74.002667,125 Worth Street,"125 Worth St, New York, NY 10013",Bing Maps,address
101,100,M,86,A,L,"125 WORTH ST, 1",125 Worth Street,1,125 Worth Street,40.715463,-74.002667,125 Worth Street,"125 Worth St, New York, NY 10013",Bing Maps,address
102,101,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
103,102,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
104,103,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
105,104,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
106,105,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
107,106,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
108,107,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
109,108,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
110,109,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
111,110,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
112,111,M,86,A,L,"100 CHURCH ST, 1",100 Church St.,1,100 Church St.,40.649658,-73.963646,100 Church St.,"Church Avenue, NY",Bing Maps,MetroStation
113,112,M,86,A,R,"80 DEKALB AVE, 3",80 Dekalb Ave,3,80 Dekalb Ave,40.689876,-73.979744,80 Dekalb Ave,"80 Dekalb Ave, Brooklyn, NY 11201",Bing Maps,address
114,113,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
115,114,T,86,A, ,FLUSHING AVE,356 Flushing Ave,E,356 Flushing Ave,40.69835,-73.960654,356 Flushing Ave,"356 Flushing Ave, Brooklyn, NY 11205",Bing Maps,address
116,115,M,86,A,L,"100 CHURCH ST, 1",100 Church St.,1,100 Church St.,40.649658,-73.963646,100 Church St.,"Church Avenue, NY",Bing Maps,MetroStation
117,116,T,86,A,R,"40 RECTOR ST, 1",40 Rector Street New York Ny,1,40 Rector Street New York Ny,40.708633,-74.014671,40 Rector Street New York Ny,"40 Rector St, New York, NY 10006",Bing Maps,address
118,117,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
119,118,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
120,119,M,86,A,R,"2405 AMSTERDAM AVE, 1",2405 Amsterdam Ave.,1,2405 Amsterdam Ave.,40.846996,-73.93164,2405 Amsterdam Ave.,"2405 Amsterdam Ave, New York, NY 10033",Bing Maps,address
121,120,M,86,A,R,"2405 AMSTERDAM AVE, 1",2405 Amsterdam Ave.,1,2405 Amsterdam Ave.,40.846996,-73.93164,2405 Amsterdam Ave.,"2405 Amsterdam Ave, New York, NY 10033",Bing Maps,address
122,121,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
123,122,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
124,123,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
125,124,T,86,A, ,WARDS IS,Wards Island,S,Wards Island,40.786999,-73.925003,Wards Island,"Wards Island, NY",Bing Maps,Island
126,125,T,74,A,L,"3589 JEROME AVE, 2",3701 Jerome Ave,2,3701 Jerome Ave,40.892269,-73.880303,3701 Jerome Ave,"3701 Jerome Ave, Bronx, NY 10467",Bing Maps,address
127,126,M,67,A,R,"110 WILLIAM ST, 1",110 William St. N Y,1,110 William St. N Y,40.708767,-74.006729,110 William St. N Y,"110 William St, New York, NY 10038",Bing Maps,address
128,127,M,67,A,R,"110 WILLIAM ST, 1",110 William St. N Y,1,110 William St. N Y,0,0,110 William St. N Y,-,Bing Maps, 
129,128,M,86,A,L,"59 MAIDEN LN, 1",59 Maiden Lane,1,59 Maiden Lane,40.70823,-74.008139,59 Maiden Lane,"59 Maiden Ln, New York, NY 10038",Bing Maps,address
130,129,T,74,A,L,"3589 JEROME AVE, 2",3701 Jerome Ave,2,3701 Jerome Ave,40.892269,-73.880303,3701 Jerome Ave,"3701 Jerome Ave, Bronx, NY 10467",Bing Maps,address
131,130,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
132,131,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
133,132,M,86,A,L,"59 MAIDEN LN, 1",59 Maiden Lane,1,59 Maiden Lane,40.70823,-74.008139,59 Maiden Lane,"59 Maiden Ln, New York, NY 10038",Bing Maps,address
134,133,M,86,A,L,"59 MAIDEN LN, 1",59 Maiden Lane,1,59 Maiden Lane,40.70823,-74.008139,59 Maiden Lane,"59 Maiden Ln, New York, NY 10038",Bing Maps,address
135,134,U,0,A, , ,369-371 East 148 St, ,369-371 East 148 St,40.815411,-73.918343,369-371 East 148 St,"E 148th St, Bronx, NY 10455",Bing Maps,street
136,135,T,86,A,R,"280 BROADWAY, 1",280 Broadway,1,280 Broadway,40.714249,-74.006111,280 Broadway,280 Broadway,Bing Maps,HistoricalSite
137,136,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
138,137,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
139,138,U,0,A, , ,Tech Svcs-Heating, ,Tech Svcs-Heating,0,0,Tech Svcs-Heating,-,Bing Maps, 
140,139,U,0,A, , ,Tech Svcs-Heating, ,Tech Svcs-Heating,0,0,Tech Svcs-Heating,-,Bing Maps, 
141,140,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
142,141,M,63,A,R,"5 6 HORACE HARDING EXPRE, 4",96-05 Horace Harding Expway,4,96-05 Horace Harding Expway,40.734752,-73.863127,96-05 Horace Harding Expway,"96-05 Horace Harding Expy N, Corona, NY 11368",Bing Maps,address
