ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1601,1600,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
1602,1601,M,86,A,R,"465 COLUMBUS AVE, 1",465 Columbus Ave. Valhalla,1,465 Columbus Ave. Valhalla,41.107204,-73.781418,465 Columbus Ave. Valhalla,"465 Columbus Ave, Valhalla, NY 10595",Bing Maps,address
1603,1602,M,86,A,R,"465 COLUMBUS AVE, 1",465 Columbus Ave. Valhalla,1,465 Columbus Ave. Valhalla,41.107204,-73.781418,465 Columbus Ave. Valhalla,"465 Columbus Ave, Valhalla, NY 10595",Bing Maps,address
1604,1603,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1605,1604,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1606,1605,M,86,A,L,"450 W 33RD ST, 1",450 West 33 St,1,450 West 33 St,40.753048,-73.999435,450 West 33 St,"450 W 33rd St, New York, NY 10001",Bing Maps,address
1607,1606,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
1608,1607,M,86,A,R,"9 METROTECH CTR, 3",9 Metrotech Center,3,9 Metrotech Center,40.694359,-73.985969,9 Metrotech Center,MetroTech Center,Bing Maps,LandmarkBuilding
1609,1608,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1610,1609,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
