length_text,reading_score
619,8.059708556
619,15.60128266
360,15.4565795
585,15.60128266
375,12.21444444
375,12.21444444
609,15.58268551
884,15.58268551
582,29.0275
582,22.28313253
626,22.28313253
609,11.89295238
582,29.0275
582,19.54140361
457,17.19423639
615,17.19423639
615,13.49922807
496,11.89295238
496,17.2273532
505,17.2273532
505,12.5114835
608,13.30692308
608,13.49922807
636,9.563849315
636,17.21215465
332,15.5879507
332,15.5879507
453,16.51072566
603,13.30692308
603,12.43127696
524,12.43127696
524,15.69370543
627,15.69370543
627,10.51393939
453,16.51072566
648,17.21215465
648,16.39168919
351,16.39168919
351,38.56237179
635,38.56237179
635,10.51393939
529,18.44201456
529,18.44201456
603,11.84165094
320,11.35444015
320,11.35444015
328,11.91132423
328,14.59979167
270,14.59979167
477,13.26465979
477,13.26465979
123,16.36869497
123,15.43748244
270,12.51513699
539,12.51513699
539,15.44162025
590,15.44162025
590,19.42136054
150,19.54140361
150,16.64696138
585,16.64696138
585,11.64778571
692,11.64778571
950,15.3216762
950,15.3216762
862,12.8795122
862,12.8795122
524,14.53117751
524,17.36814118
692,13.9497313
291,16.319375
291,16.319375
487,19.56994403
582,19.56994403
582,14.53117751
715,13.72573125
715,13.72573125
514,19.44725624
487,18.9261029
485,18.9261029
485,13.9497313
514,14.9533212
792,14.9533212
792,14.08923077
184,16.75656528
184,16.21308303
641,16.21308303
641,14.08923077
230,20.59048649
230,20.59048649
486,18.86160146
612,13.55091707
612,18.86160146
898,15.1485288
486,15.1485288
905,17.30984877
905,17.30984877
327,15.24117928
898,15.24117928
673,20.30647059
673,14.07222646
827,16.20309436
327,13.55091707
135,16.20309436
535,15.76766119
535,14.07222646
827,15.02720811
505,15.02720811
644,15.76766119
644,12.72718028
924,12.72718028
329,15.66442979
329,15.66442979
506,14.51160106
506,14.78064415
612,14.78064415
612,15.76331551
924,15.76331551
550,12.03741379
602,12.03741379
604,15.44546341
495,15.44546341
495,11.83513467
736,11.83513467
736,16.52124568
647,18.07675254
647,13.63376289
615,15.86451128
604,11.49411298
599,11.49411298
615,18.39833461
501,15.86451128
501,14.15
509,14.15
509,11.80667943
495,13.61104462
495,18.39833461
352,12.86771739
599,12.86771739
644,11.80667943
644,14.50751058
585,14.50751058
352,16.1737642
396,14.73028083
396,14.73028083
884,14.06233766
543,13.61104462
543,16.83230209
278,16.1737642
298,16.65715038
221,14.75535276
221,14.75535276
564,14.75535276
776,14.75535276
776,14.75535276
564,14.75535276
495,13.73495354
495,9.234583333
470,16.65715038
470,14.30952381
621,21.86942746
621,13.07790033
278,13.07790033
357,16.67536436
357,21.86942746
326,14.444771
759,14.444771
759,17.03184101
590,19.42136054
590,9.234583333
326,16.67536436
427,14.51320463
427,14.51320463
548,17.03184101
548,10.51393939
251,10.51393939
251,15.57286989
454,15.57286989
454,14.21162735
627,14.21162735
502,16.12958941
502,14.78832771
676,14.78832771
627,19.1729355
759,19.1729355
759,14.02370772
673,14.02370772
676,12.62995587
458,12.62995587
458,15.74118421
397,15.74118421
397,16.21407354
673,22.41777365
680,22.41777365
356,18.0327381
356,15.90868015
319,18.21577206
319,18.21577206
680,17.36814118
846,19.44725624
846,14.46345499
598,10.5452847
598,16.21407354
837,10.5452847
837,19.10644028
613,12.86716981
715,12.86716981
367,14.94065772
367,14.94065772
852,17.51525174
852,16.30047233
715,16.30047233
166,17.52003759
166,15.61748062
543,17.52003759
543,15.89978947
440,15.89978947
440,13.14186899
186,13.14186899
